review,sentiment
"Alain Resnais films are uncanny in the way that they aren't really edited for continuity, but instead the shot seems to finish right where a memory has edited. Love unto Death is at times a quiet existential drama and a roundly creative magical realist movie, and either way treats the audience to a whole new aspect of the Eros/Thanatos relationship... or perhaps creates a new relationship, that of Agape/Thanatos.<br /><br />The beginning is like a bizarre surrealist horror movie. A woman desperately runs around the house while a man lays dying in his bed--did she kill him, or what happened? Soon that tension is dissolved as a doctor arrives and pronounces him dead, but from there a newer, stranger drama begins: the man wakes up, and after being dead the woman and man fall in love to actually quite tragic consequences. Meanwhile, their friends, who are both priests, watch on and submit their own debate into the nature of love, faith, and devotion.<br /><br />Resnais always seems to have some device to make these sorts of narratives work, and what's so amazing about his films is that those devices always work. In this case, Resnais intercuts the scenes with shots of snow falling to an arousing orchestral score, which fades off and bleeds into the subsequent shots that continue the story. Trapped in this elegiac aside periodically, the film develops a rhythm not too unlike an epic poem, and I got strange flashbacks to Dante's Divine Comedy from this one, despite the lack of direct reference within the movie. Resnais is known as a very poetic filmmaker but this extends past just the cinepoem structure to something that forces a degree of introspection in the viewer, which has the possibility to bring to surface some odd recollections. Memory-narrative, Resnais creates.<br /><br />--PolarisDiB",1
"A fabulous book about a fox and his family who does what foxs do. that being stealing from farms and killing prey. until a trio of farmers decide they've had enough of this fox and try in various ways to have the problem ""solved"". They are of course ""out foxed"" at every turn and while the trio are camped out at the fox hole the family perform raids against the three farmers land.<br /><br />The""film"" version ,and I use the term film very loosely, is more of a god awful pastiche of American heist movies particularly the Oceans movies. They they even have George clooney as Mr fox to to add to the insult and manage to miss the point of the story quite completely. So kudos to them .They'll make lots of money and destroy another classic Roald Dahl children book.",0
"Rod Serling was, of course, a genius and his wonderful, playful, creative mind left something of the period in which he lived and examples of television at that state of development. There are no such shows now, but rather ""Housewife"" sluts ala Eva Longoria or Terri Hatcher, or the pitiful stabs at humor and witty banter that litter our high-tech screens.<br /><br />Jack Elam edged into the episode with such acting precision and with his usual craziness that I can't help but think that Rod Serling was tailoring that long ago week's show around Elam, even though he was an ancillary to the flow of the story. This episode ends with a twist, as usual, but shock and humor are mixed with especially ""Serlingesque"" dexterity.<br /><br />Rex Lewis Field",1
"I had a heck of a good time viewing this picture, and was splendidly surprised at its more erudite features. First off, the film is undeniably cheaply-made with its cardboard sets, limited settings, and creative scientific props. The acting ranges from very poor(the two strippers), barely professional(Herb Evers as the leading man), gothic overstatement(Leslie Daniels as the assistant Kurt)to first-rate with Virginia Leith in the title role as the headless victim alive against her will for the benefit of science and her fiancee's lustful passions. The scripting though is very good and the dialogue is fantastic for a movie of this ilk. Issues abound about what role science and medicine have in our lives and what their boundaries should be. This film is a thinking film in many ways. However, don't be too fooled by its real intent. It is a sleazy story about a man obsessed with his aptitude in medical science who wishes to fuse together his dead girlfriend's head with the perfect body, thereby creating the perfect woman for a man with the best of both body and soul. One other very bright aspect of the film is the sax music which resonates strongly every time the doctor scours town for female beauties.",1
"Last year we were treated to two movies about Truman Capote writing the book from which this film was made - Capote and Infamous.<br /><br />I cannot imagine a movie like this being made in 1967. A stark, powerful and chillingly brutal drama; elevated to the status of a film classic by the masterful direction of Richard Brooks (Elmer Gantry, Cat on a Hot Tin Roof, The professional, Blackboard Jungle).<br /><br />It is interesting that Robert Blake, who starred in this film, has had so many problems of late that may be related to his portrayal of a killer in this film.<br /><br />This is a film that stays with you after viewing.",1
"Pretty awful but watchable and entertaining. It's the same old story (if you've lived through the 80s). Vietnam vets fight together as buddies against injustice back in the States. A-Team meets Death Wish, my favorite!<br /><br />Time goes on, the soldiers go home, and years later a friend is in trouble. No, wait -- in fact, the friend is dead and it is his dad that's in trouble. Our first hero, Joey, is killed by an exceedingly horrifying (super pointy) meat tenderizer as he tries to defend his father's small store from the local ""protection"" gang despite being wheelchair bound from the war. Desperate for help, the father talks to Sarge, the leader of Joey's old unit from Vietnam, when Sarge shows up for the funeral.<br /><br />Well, the squeaky wheel gets the grease, and the old gang saddles up for the city. You can pretty much imagine most of the rest of the movie.<br /><br />The one thing that drove me crazy is that Sarge keeps haranguing his men about planning, and about how they're really good at what they do when they plan ahead. But Joey wouldn't have been put in a wheelchair by a gunshot in Vietnam in the first place if the unit hadn't been messing around! Then when things are going really well in the city as they battle the gangs, they do it again. For no reason at all, they completely bypass their plan and try to nail the gang without everyone being present. Phh!!!! I raise my hands in disgust. Foolishness!<br /><br />There is also a suspicious moment when all present members of the unit make sure to try out the heroin they snatch from the gang to make sure it's real. EVERY single one of them. Hmm....<br /><br />What are you going to do? Keep watching, I guess. The movie isn't too horrible to watch, but it IS a tease. There are all these climactic moments when nothing actually winds up happening. The most dramatic things that happen are those at the beginning of the movie -- the explosives in Vietnam, Joey's death battle, and the gang brutally kicking an innocent teddy bear aside (poor Teddy!).<br /><br />I guess my main beef with this movie is that I feel let down by it. Even the confusing subplots with ""mystery helpers"" and their bizarrely cross-purpose motives wasn't enough to save it at the end. But someday maybe it'll all come right and they'll make a sequel. Ha ha ha ha!!!",0
"Saw this in the theater in '86 and fell out of my chair laughing more than once. ""Beirut""...""What do you know about Beirut?""...""Beirut...he's the best damn baseball player who ever lived.""<br /><br />You know how it's going to end but it has a great time getting there. The training scenes are very funny but the best scene may be the one when Jack and Reno are attempting to watch the Falcons v. Vikings Monday Night Football game while attempting a make-up dinner with their wives.<br /><br />Williams and Russell seem to have a lot of fun with this one and it's too bad that it's overlooked as a top notch comedy.",1
"I would just like to say, that no matter how low budget the film is, it needs to be shown throughout this world the point to these movies. We don't read that much anymore, instead people want to see movies. Having this series out on DVD, has made me want to read the whole series, and want more. PLEASE MAKE ALL 8 MOVIES. Please don't change any of the characters either, it ruins the effect. Because I have grown to love the actors who have played the characters. PLEASE MAKE ALL 8 MOVIES. I want to see the message, and watch the message that these books and now movies are here to portray. We don't get that enough anymore. AWESOME JOB!!!",1
"Basically this is about a couple who want to adopt a second child. At the adoption agency they meet a mouse (Stuart) and they decide to adopt him. If you think that this is stupid, hold it, because it's getting worse.<br /><br />Stuart arrives to his new home, where he is treated like a human child. (Spare me!) The rest is pretty much the usual cliché, about family problems, jealousy from the elder ""brother"", and at the end all issues are resolved and they are all a ""happy family"". Boring and worn out as this is, it is also shown in the most blunt and unsophisticated way.<br /><br />I don't know if the director believed that he was being creative by introducing a mouse to the cliché, or he was just trying to fill in minutes, but he only upgraded the cliché from boring to abhorrent.<br /><br />Then why I gave a 3 and not a ZERO? Because of the family cat, who loves Stuart as much as the ""brother"". And because of some funny gigs, where Stuart makes good use of his small size.<br /><br />On the overall I believe that the film would work reasonably well if: a. Stuart was a PET and not a ""sibling"". b. It had kept to the funny gigs, like Stuart trying to outwit the cat, and had left out boring clichés which don't even match with anything else.",0
"For some reason, this film has never turned up in its original language in my neck of the woods (despite owning the TCM UK Cable channel, which broadcasts scores of MGM titles week in week out). More disappointingly, it's still M.I.A. on DVD  even from Warners' recently-announced ""Western Classics Collection"" Box Set (which does include 3 other Robert Taylor genre efforts); maybe, they're saving it for an eventual ""Signature Collection"" devoted to this stalwart of MGM, which may be coming next year in time for the 40th anniversary of his passing <br /><br />I say this because the film allows him a rare villainous role as a selfish Westerner with a fanatical hatred of Indians and who opts to exploit his expert marksmanship by making some easy money hunting buffaloes; an opening statement offers the alarming statistic that the population of this species was reduced from 60,000,000 to 3,000 in the space of just 30 years! As an associate, Taylor picks on former professional of the trade Stewart Granger  who rallies alcoholic, peg-legged Lloyd Nolan (who continually taunts the irascible and vindictive Taylor) and teenage half-breed Russ Tamblyn to this end. As expected, the company's relationship is a shaky one  reminiscent of that at the centre of Anthony Mann's THE NAKED SPUR (1953), another bleak open-air MGM Western. The film, in fact, ably approximates the flavor and toughness of Mann's work in this field (despite being writer/director Brooks' first of just a handful of such outings but which, cumulatively, exhibited a remarkable diversity); here, too, the narrative throws in a female presence (Debra Paget, also a half-breed) to be contended between the two rugged leads  and Granger, like the James Stewart of THE NAKED SPUR, returns to his job only grudgingly (his remorse at having to kill buffaloes for mere sport and profit is effectively realized).<br /><br />The latter also suffers in seeing Taylor take Paget for himself  she bravely but coldly endures his approaches, while secretly craving for Granger  and lets out his frustration on the locals at a bar while drunk! Taylor, himself, doesn't come out unscathed from the deal: like the protagonist of THE TREASURE OF THE SIERRA MADRE (1948), he becomes diffident and jealous of his associates, especially with respect to a rare  and, therefore, precious  hide of a white buffalo they've caught; he even goes buffalo-crazy at one point (as Nolan had predicted), becoming deluded into taking the rumble of thunder for the hooves of an approaching mass of the species! The hunting scenes themselves are impressive  buffaloes stampeding, tumbling to the ground when hit, the endless line-up of the day's catch, and the carcasses which subsequently infest the meadows. The film's atypical but memorable denouement, then, is justly famous: with Winter in full swing, a now-paranoid Taylor out for Granger's blood lies in wait outside a cave (in which the latter and Paget have taken refuge) to shoot him; when Granger emerges the next morning, he discovers Taylor in a hunched position  frozen to death! <br /><br />Incidentally, my father owns a copy of the hefty source novel of this (by Milton Lott) from the time of the film's original release: actually, he has collected a vast number of such editions  it is, after all, a practice still in vogue  where a book is re-issued to promote its cinematic adaptation. Likewise for the record, Taylor and Granger  who work very well off each other here  had already been teamed (as sibling whale hunters!) in the seafaring adventure ALL THE BROTHERS WERE VALIANT (1953)which, curiously enough, is just as difficult to see (in fact, even more so, considering that it's not even been shown on Italian TV for what seems like ages)!!",1
"""What happens when you give a homeless man $100,000?"" As if by asking that question they are somehow morally absolved of what is eventually going to happen. The creators of ""Reversal of Fortune"" try to get their voyeuristic giggles while disguising their antics as some kind of responsible social experiment.<br /><br />They take Ted, a homeless man in Pasadena, and give him $100,000 to see if he will turn his life around. Then, with only the most cursory guidance and counseling, they let him go on his merry way.<br /><br />What are they trying to say? ""Money can't buy you happiness?"" ""The homeless are homeless because they deserve to be?"" Or how about, ""Lift a man up - it's more fun to watch him fall from a greater altitude."" They took a man with nothing to lose, gave him something to lose, and then watched him dump it all down the drain. That's supposed to be entertainment? They dress this sow up with some gloomy music and dramatic camera shots, but in the end it has all the moral high ground of car crash videos - only this time they engineered the car crashes and asked, ""What happens when you take down a stop sign?""",0
"Gabe Ryan (Frankie Thomas) gets out of reform school and goes back to the slums. His sister (Ann Sheridan) does her best to keep him out of trouble, but it just seems to follow him. Aside from his associations with the Termite gang, Gabe is followed by real-life gangsters who have a scheme to set fire to random buildings to collect the insurance. They need someone to blame for the arson, and Gabe is it. It is up to the Termites to work the law in their favor and give the gangsters their just desserts.<br /><br />The the scene that introduces the Dead End Kids is really quite good. The boys wander on over to the new resident's furniture on the street, and proceed to make it their own. They talk to each other in phoney posh accents and talk about drinking tea together; Bernard Punsley takes a nap in a chair. The boys then proceed to start a fight with the new boy, but after he proves himself a good fighter, they ask him to join their club.<br /><br />The initiation scene is rather good too, filled with mischief that seems dangerous at first, but is really rather clever and innocent.<br /><br />Later, when Billy Halop studies to become the boy mayor, he has a dream about schoolwork. This is wonderfully staged, with tiny holograms of the kids walking on his face and firing questions at him.<br /><br />Angels Wash Their Faces is a great title because it plays off of the success of Angels With Dirty Faces, and really tells what the kids are doing. Notorious for bad behavior on and off the set, these boys make nice in this film. But rather than seem disingenuous, it makes for some great laughs. This is a preview of what many of the boys would become in The Bowery Boys series. We even get a few garbled words from Leo Gorcey.",1
"I think they really let the quality of the DVD production get away from them. I rented this DVD from 2 movie stores and the second time I finally got it to play on the 3rd DVD player I tried.<br /><br />Anyone else have this issue? It's really hard to give the film an un-biased review after going through such a hassle to play it. For one, I've never seen a Finnish horror film before so I was sort of bummed that the movie was done in English. Also since it's never made clear what is wrong with Sarah, she just came off as retarded and therefore I really just hoped someone would shoot her in the face and make all the horrific happenings go away.",0
"This movie is just plain bad. It isn't even worth watching to make fun of it. The lunatic professor is just plain annoying. Even suspending disbelief to allow for invisibility (which I glady do for the sake of good bad movies) and allowing for exceedingly stupid victims in a horror movie, this movie asks for even more than that. If you are looking for women's locker room shower scenes, and random sexual encounters, get a porn, if you are looking for a good-bad movie, get something else. If you want to simply waste your time on an annoying bad movie, rent this.",0
"It does touch a few interesting points.. But! - It fails to show evidence of all the 'exclusive' studies shown. Who are the 'friends' and 'small groups of scientists' that gathered this data? - What's up with all the Al Gore biography going on there? Like how he liked playing with the cows on the ranch or that his kid got hit by a car.. too bad but.. what does that have to do with the ozone layer?<br /><br />I've seen MUCH better stuff, in much less time, on Discovery Channel.. I really don't understand why this has such a high score on IMDb. Unless you've been living under a rock, this 'documentary' shouldn't be any news to you... all this is old news... And all Al Gore is trying to do is get some popularity points. P.S. i'm not American so don't even try saying that i'm a bush fan :p",0
"Most complaints I've heard of this film really come down to one thing: It isn't Versus. Yes, the cast and crew is basically the same. Yes, Kitamura rehashes a few shots in the fight scenes that come in the film's second half, but that's about where the similarities end. Versus takes place essentially all outside, showcasing Kitamura's ability to craft an interesting B-movie in natural locations. For Alive, almost everything takes place inside. In small, cramped spaces. Here the art design is thrust into your face, and WHAT art design it is! We are treated to several very intricate and interesting spaces, and our characters are for the most part confined to those spaces. Also a key difference is that we don't get much action here until the end of the film. Versus was all about action and cool, here a LOT more emphasis is put on characters and situation and messing with your mind. Because of this, Alive is a far more interesting film than Versus. You may not pop it in and go to a random scene to watch five or ten minutes of cool zombie bloodshed, but you will sit glued to the screen for nearly two hours watching he interaction of a few genuinely interesting characters.<br /><br />I'm now ecstatic that I ordered the DVD despite some naysay. You should too! But be sure to realize this is a different animal from Versus - it's often slow, and requires a bit of thought to get the most out of it. I hope Media Blasters picks it up for subtitled R1 DVD release!",1
"If you would like to see a film of different kind, if you feel the Love in your heart, even if you miss the Lord, this film makes you think. Although Georges is mentally handicapped, you can see the ultimate intelligence at the end, when love gives you directions not the brain. I am not emotional, but this film makes you feel the human being. The film is as good as Forrest Gump in my belief. The foreign movies are sometimes more interesting, yet there is not enough advertisement to make them popular. ""Rang-e khoda"" (The Color of The God) by Majid Majidi is another example of such foreign movies, almost with similar taste.",1
"Some of my old friends suggested me to watch this movie but I got chance only recently. I had high hopes of seeing something interesting from Kamal Hans, what I saw was bunch of garbage camera angles mixed at high speed. I could not understand what was the message except demeaning Hinduism. I am more like many religion type but I felt Kamal Hasan is a man low character to have orchestrated this kind of thought. He could have made a horror movie than this crap. He tried to add Hollywood genre of viruses and god forbid he did not convert that guy into a mutant and ultimately going to go for world domination. This is a much befitting movie for a film school vs regular public. Shame on him for not holding up to the talent he has. Starting of story tried Chaos to borrow ideas from Butterfly effect, then in between little religious harmony at the cost of insulting Hinduism (Once again I insult Hinduism more but this movie has no equal and my insult is same for religion in general which may have made this movie intellectual one.)",0
"Paris is the place to be to enjoy beautiful art and music, and to fall madly in love - as is the case in this film. Boy meets girl, they fall in love, but something stands in their way of eternal happiness, the classic story.<br /><br />The wonderful music of George Gerschwin complements the great dancing by Gene Kelly and Leslie Caron. ""An American in Paris"" is a humorous, light-hearted, loving film well worth watching.<br /><br />8/10<br /><br />",1
"I was rooting for this film as it's a remake of a 1970s children's TV series ""Escape into Night"" which, though chaotic and stilted at times was definitely odd, fascinating and disturbing. The acting in ""Paperhouse"" is wooden, unintentionally a joke. The overdubs didn't add tension they only reinforced that I was sat watching a botch. Casting exasperated the dreary dialogue which resulted in relationships lacking warmth, chemistry or conviction. As in most lacklustre films there are a few good supporting acts these people should be comforted, consoled and reassured that they will not be held responsible. Out of all the possible endings the most unexpected was chosen ... lamer than I could have dreamt.<br /><br />""Escape into Night"" deserves a proper remake, written by someone with life experience and directed with a subtle mind.",0
"You know you're in trouble when John Cassavetes is operating at half-speed instead of full-throttle in a movie, and ""The Incubus"" is a dreadful, worst-case scenario of a great actor going through the motions to pay the bills. Actually, observing the hammy script and John Hough's 'baroque' art direction, one can hardly blame him. The movie has something to do with a series of rape-murders going on in a small town, with a lot of supernatural hokum mixed in. Somehow, the direction manages to suck tension and interest out of every scene, and Cassavetes seems visibly P.O.'ed at times. The Incubus itself, which doesn't show up until the last scene, is a well-done creation, but it's not worth waiting for.<br /><br />1/10",0
"A large part of the scenes should be cut off. There is a lot of scenes that should have been cut off. For example the scene where the hunters mentions ""I got spiders on my dick"", ""I like dick"", playing in the mud scene, or a bar scene where a professional dinocroc hunters main job is a snake charmer.<br /><br />How about other terribly incoherent scenes featuring a woman, Diane who wants to loose her virginity to a boyfriend who walks like he wears women's panties three sizes too small. While they make love, didn't they realized they are making it out next to the little boy who will soon run away and loose his head? Why did they do in a living room? I mean his head really flipped. How about the beach scene very reminiscent of Steven Spielberg's Jaws scene at Grant Lake. All these strange scene could easily be re-dubbed and billed as a comedy.<br /><br />Here in my local town, the cineplex theaters had been advertising for months about Dinocroc, and I am glad I didn't watch it because I later found out it was shown only for 1 or 2 days before it was canceled. The movie was THAT bad. I suspected that Dinocroc was not a good movie looking at the preview. It features the leg of Dinocroc that looks like a child wearing green pajamas and slippers with claws and walks up and down like a 2 year old. It could easily passed over as Baby Geniuses.<br /><br />If any students of movie making wants to learn what not to do this is a real classic trash. Such as Diane's boyfriend who walks like he had an advanced case of syphilis makes you wonder what the poor woman sees in this guy who looks drunk even before he get to drink beer. When this happens, who cares about Dinocroc? The panties man looked more more interesting than the entire movie of Dinocroc. His acting was so bad, he makes a much better replacement for Mr. Bean. MOVE OVER ROWAN ATKINSON, here is a man with a better comedic talent in a horror sci-fi flick. Perhaps the worse casting in the history of Hollywood.",0
"If there's one thing that annoys me most in seeing a bad film, it's seeing it done by experienced film-makers who ought to know better. This ""re-imagining"" of Planet of the Apes could have used some imagination, to say nothing of essential elements of character development. Nova, the girl in the original Planet of the Apes, was a better developed character than Daena in this version, for all that she does not say a single word. One certainly expected a lot better from Tim Burton, a man who has hitherto combined an incredible visual imagination with intelligence, wit and humour, all of which were notably absent from this production.<br /><br />There were problems in basic plot development. The first big mistake was allowing the humans to talk. This was the fundamental difference between apes and men that made *all* the difference in the original film. Even while he was mute, his ability to communicate was what marked out Heston's Taylor as being different from the other humans. In the current film, Mark Wahlberg encourages the (talking) human slaves to revolt, but there is no overpowering reason for them to have not revolted and reclaimed their emancipation already. They are dexterous tool-users and have the ability to communicate in order to form plans, something mute humans can't do. It needs no man to fall from the stars to save them. Indeed, since he comes from a technological civilisation and finds himself in a pre-technology era without (at first) any gadgets to help him, it is Wahlberg who ought to be at a disadvantage, not the humans who are used to living there.<br /><br />It was sad to see Helena Bonham Carter working so hard to generate some kind of spark between herself and that unresponsive brick wall Mark Wahlberg. Her best scenes were with the villainous Tim Roth.<br /><br />The humans were practically ignored until they were needed in the third act, at which point Daena started showing some actual interest in Davidson (Wahlberg), and a young boy suddenly changed from part of the background to a feisty gung-ho freedom-fighter. This was poor character development. (Estella Warren, in particular, looked as if she would have been capable of a great deal more than she was given in the script). Wahlberg's puzzlement at the end as to what these humans see in him was certainly shared by me, as he has scarcely interacted with the humans throughout.<br /><br />Creating the apes: half a plus point and two minuses: Ape make-up was excellent on the males, particularly Michael Clarke Duncan who has incredibly expressive eyes (which was why he was so good in The Green Mile), and the makeup design allowed him to use them fully. But the ape females looked like nothing on earth, neither ape nor human. The minuses were the ape jumps which looked about as realistic as Flash Gordon's rocket: jumping apes looked as if they'd just been fired from a catapult, they had none of the long-limbed grace of genuine apes. Secondly, the poor sound mixing - when the gorillas roar it is quite clearly dubbed from some animal, probably feline, making them sound ridiculous and unrealistic.<br /><br />In the original film, the various ""human"" things the apes do and say are handled as light relief (""I never knew an ape I didn't like."" ""Human see, human do!""). Here, the apes just talk matter-of-factly exactly as 21st Century humans do, and there is no humour in it at all. The only genuinely original idea was Ari writing with her feet.<br /><br />Nothing made me cringe more than the ""V-Ger from Star Trek"" moment near the end of the film. First of all, the apes had apparently been able to read Roman lettering in the distant past, for them to know the name of the Forbidden Zone in its partly concealed form. Secondly, the mysterious inscription giving the name is merely covered with sand which Wahlberg just brushes away, something any ape could have done centuries ago. This moment was, for me, far worse than the much-maligned ending of the movie.<br /><br />Things of that nature, however, are typical of most science fiction movies of today. Back in the '60s and '70s, they generally didn't have the budget to make convincing futuristic sets, but they dealt with genuinely original themes and ideas which were truly science fictional. I'm thinking of 2001: A Space Odyssey, the 1967 Planet of the Apes, THX1138, Soylent Green, Silent Running and the 1972 Solaris. The first Planet of the Apes even utilised the only scientifically valid and physically possible method of travelling forward in time. However, this film includes just about every bad science fiction cliché going: space storms, anomalies and worm holes straight out of Star Trek; the planets of the solar system and their moons apparently all visible together as large globes (in reality from any one planet, all other bodies, even their own moons, are just points of light); a conventional rocket powered shuttle travelling from Saturn to Earth in a matter of minutes instead of years; two-thousand year old equipment firing up and fully working the minute the hero presses the button. To say nothing of a conveniently bulletproof internal glass door. In a contemporary setting, you'd have to explain *why* it was bullet proof, but because it's ""science fiction"" you don't have to!<br /><br />Overall, Burton's most disappointing film.",0
